epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.247,1.31511,2.4947,1.61112,0.32362,0.07836,0.09948,0.04934,2.32461,2.9215,2.53076,0.000547949,0.000547949,0.000547949
2,30.665,1.44147,2.23331,1.70538,0.30953,0.38916,0.26873,0.11186,1.87308,2.371,2.62578,0.00109269,0.00109269,0.00109269
3,42.8074,1.53212,2.18584,1.78145,0.37006,0.45539,0.39338,0.14037,1.94985,2.65696,2.51062,0.00162643,0.00162643,0.00162643
4,59.3692,1.5479,2.09549,1.79555,0.17567,0.34193,0.17652,0.0631,2.1104,2.71133,2.7347,0.00161749,0.00161749,0.00161749
5,73.0099,1.51678,1.95214,1.7697,0.39897,0.28929,0.30665,0.13197,2.32678,2.26131,2.66429,0.00160099,0.00160099,0.00160099
6,86.7932,1.50942,1.84672,1.73557,0.43021,0.5024,0.37851,0.13253,2.06849,2.03124,2.39024,0.00158448,0.00158448,0.00158448
7,100.486,1.46289,1.83271,1.71279,0.59843,0.40014,0.40099,0.17886,1.82389,2.40201,2.36821,0.00156798,0.00156798,0.00156798
8,114.269,1.49105,1.74539,1.71284,0.36476,0.6552,0.44529,0.23638,1.56148,1.8582,2.06726,0.00155148,0.00155148,0.00155148
9,128.166,1.43368,1.74197,1.68599,0.5402,0.61096,0.62881,0.30978,1.53705,1.7827,1.99815,0.00153497,0.00153497,0.00153497
10,141.922,1.41233,1.65536,1.64443,0.75797,0.6287,0.71406,0.38525,1.56581,1.5075,2.07191,0.00151847,0.00151847,0.00151847
11,155.888,1.38313,1.62329,1.64326,0.83484,0.61774,0.71228,0.36657,1.54431,1.47078,2.0479,0.00150197,0.00150197,0.00150197
12,169.631,1.35877,1.51811,1.58954,0.74798,0.63109,0.7027,0.38653,1.61723,1.50243,2.17281,0.00148546,0.00148546,0.00148546
13,183.369,1.3778,1.51741,1.61734,0.7934,0.71654,0.79464,0.45404,1.42308,1.38239,1.86181,0.00146896,0.00146896,0.00146896
14,196.812,1.36414,1.54897,1.61011,0.75093,0.6256,0.70726,0.36543,1.55861,1.53727,2.19154,0.00145246,0.00145246,0.00145246
15,210.386,1.34192,1.45811,1.58609,0.70426,0.73355,0.75373,0.43329,1.4318,1.3367,1.92261,0.00143595,0.00143595,0.00143595
16,224.047,1.30312,1.40845,1.55303,0.73503,0.67723,0.71962,0.4136,1.42283,1.36903,1.92751,0.00141945,0.00141945,0.00141945
17,237.71,1.34038,1.4,1.6072,0.57258,0.50343,0.54948,0.27645,1.64397,1.83749,2.02998,0.00140295,0.00140295,0.00140295
18,251.495,1.30593,1.36776,1.57302,0.6743,0.71943,0.77404,0.43677,1.41232,1.62535,1.92209,0.00138644,0.00138644,0.00138644
19,265.281,1.3114,1.36836,1.55886,0.79854,0.69046,0.80641,0.43913,1.43099,1.42137,1.81201,0.00136994,0.00136994,0.00136994
20,278.903,1.31151,1.36205,1.58818,0.7183,0.64756,0.77404,0.49442,1.32063,1.41964,1.75606,0.00135344,0.00135344,0.00135344
21,292.584,1.28622,1.35327,1.5425,0.75721,0.67948,0.76851,0.46295,1.31104,1.23162,1.71776,0.00133693,0.00133693,0.00133693
22,306.23,1.30295,1.35798,1.5565,0.81717,0.71522,0.82159,0.48939,1.36865,1.26302,1.77819,0.00132043,0.00132043,0.00132043
23,319.927,1.27176,1.27773,1.5156,0.89219,0.59849,0.78848,0.48013,1.23097,1.2527,1.70673,0.00130393,0.00130393,0.00130393
24,333.498,1.23606,1.33566,1.50815,0.80422,0.73816,0.8029,0.47298,1.30137,1.33229,1.7168,0.00128742,0.00128742,0.00128742
25,346.901,1.23072,1.241,1.509,0.79908,0.7059,0.77311,0.41423,1.63848,1.38655,2.10057,0.00127092,0.00127092,0.00127092
26,363.185,1.23058,1.2322,1.50062,0.85363,0.78025,0.83524,0.56529,1.17811,1.11924,1.61931,0.00125442,0.00125442,0.00125442
27,377.452,1.24679,1.23862,1.51504,0.81233,0.72947,0.8118,0.50257,1.31939,1.37931,1.69595,0.00123791,0.00123791,0.00123791
28,390.547,1.20606,1.19267,1.4666,0.75682,0.71688,0.79633,0.49889,1.32788,1.30701,1.80381,0.00122141,0.00122141,0.00122141
29,403,1.18526,1.17113,1.47479,0.81379,0.76493,0.84868,0.5713,1.1503,1.15499,1.60037,0.00120491,0.00120491,0.00120491
30,415.244,1.18807,1.16754,1.48244,0.88896,0.72068,0.83257,0.54171,1.16635,1.17811,1.59828,0.0011884,0.0011884,0.0011884
31,427.101,1.188,1.17144,1.45423,0.86331,0.78071,0.85872,0.56399,1.32052,1.03832,1.77015,0.0011719,0.0011719,0.0011719
32,438.903,1.15147,1.10646,1.42303,0.75908,0.71482,0.78284,0.47618,1.36729,1.18166,1.86392,0.0011554,0.0011554,0.0011554
33,450.324,1.18129,1.10304,1.45854,0.80443,0.70075,0.80586,0.5532,1.21541,1.21945,1.70161,0.00113889,0.00113889,0.00113889
34,461.813,1.16911,1.08211,1.44627,0.76233,0.72214,0.75614,0.4898,1.24633,1.31234,1.66976,0.00112239,0.00112239,0.00112239
35,473.492,1.14838,1.1292,1.44022,0.84457,0.79601,0.85357,0.57,1.2111,1.08574,1.66003,0.00110589,0.00110589,0.00110589
36,485.194,1.13997,1.03176,1.41963,0.88646,0.79135,0.87121,0.58496,1.17832,1.09676,1.56166,0.00108938,0.00108938,0.00108938
37,496.931,1.15487,1.04564,1.46287,0.85127,0.76541,0.86289,0.55225,1.18999,1.14761,1.63047,0.00107288,0.00107288,0.00107288
38,509.551,1.13263,1.11201,1.43031,0.80934,0.82568,0.83148,0.56096,1.17719,1.11239,1.61025,0.00105638,0.00105638,0.00105638
39,521.211,1.1177,1.08865,1.42566,0.79851,0.58201,0.75541,0.49227,1.34949,1.27763,1.7733,0.00103987,0.00103987,0.00103987
40,533.024,1.08759,1.02531,1.38886,0.80995,0.77557,0.86492,0.5904,1.2014,1.09899,1.58199,0.00102337,0.00102337,0.00102337
41,544.769,1.07205,0.94175,1.40579,0.77843,0.81297,0.84843,0.57981,1.16583,1.04782,1.64183,0.00100687,0.00100687,0.00100687
42,556.323,1.10386,1.00995,1.41665,0.87999,0.73674,0.83054,0.56414,1.20642,1.18689,1.66174,0.000990365,0.000990365,0.000990365
43,570.668,1.09179,0.98323,1.39175,0.8909,0.71688,0.84425,0.57795,1.16233,1.17376,1.59724,0.000973861,0.000973861,0.000973861
44,584.882,1.07983,1.00841,1.41023,0.87087,0.81859,0.86128,0.54311,1.34084,1.15371,1.73195,0.000957358,0.000957358,0.000957358
45,598.834,1.10863,1.00456,1.41274,0.90182,0.7862,0.87594,0.60529,1.12008,1.0796,1.51414,0.000940855,0.000940855,0.000940855
46,612.653,1.06594,0.94066,1.37182,0.86052,0.76493,0.8597,0.57901,1.14877,1.20201,1.55061,0.000924352,0.000924352,0.000924352
47,626.462,1.04392,0.94266,1.36629,0.7545,0.81297,0.81432,0.59083,1.05126,1.07475,1.45881,0.000907848,0.000907848,0.000907848
